-651.430481 -609.650085 -38.851784, -618.338623 -421.874908 23.426405, -262.965302 -534.854553 536.481628, -452.132294 509.214020 695.961731, 
-421.874908 23.426405 -262.965302, -534.854553 536.481628 -452.132294, 509.214020 695.961731 -647.733948, -608.280212 -37.681232 -615.352783, 
536.481628 -452.132294 509.214020, 695.961731 -647.733948 -608.280212, -37.681232 -615.352783 -420.891357, 25.042253 -260.237030 -538.090698, 
-647.733948 -608.280212 -37.681232, -615.352783 -420.891357 25.042253, -260.237030 -538.090698 540.373352, -450.680176 508.673950 694.443237, 
-420.891357 25.042253 -260.237030, -538.090698 540.373352 -450.680176, 508.673950 694.443237 -650.941711, -607.194580 -33.542458 -622.170898, 
540.373352 -450.680176 508.673950, 694.443237 -650.941711 -607.194580, -33.542458 -622.170898 -421.306488, 24.824768 -260.195099 -532.424805, 
-650.941711 -607.194580 -33.542458, -622.170898 -421.306488 24.824768, -260.195099 -532.424805 540.645081, -453.025208 507.201630 690.712524, 
-421.306488 24.824768 -260.195099, -532.424805 540.645081 -453.025208, 507.201630 690.712524 -647.582703, -608.561096 -38.596294 -617.958984, 
540.645081 -453.025208 507.201630, 690.712524 -647.582703 -608.561096, -38.596294 -617.958984 -423.118317, 24.855677 -258.527863 -536.782837, 
-647.582703 -608.561096 -38.596294, -617.958984 -423.118317 24.855677, -258.527863 -536.782837 542.585510, -452.296204 509.579956 694.541382, 
-423.118317 24.855677 -258.527863, -536.782837 542.585510 -452.296204, 509.579956 694.541382 -650.779541, -609.782654 -39.167488 -619.047302, 
542.585510 -452.296204 509.579956, 694.541382 -650.779541 -609.782654, -39.167488 -619.047302 -421.976013, 23.671293 -262.965302 -534.854553, 
-650.779541 -609.782654 -39.167488, -619.047302 -421.976013 23.671293, -262.965302 -534.854553 536.481628, -452.132294 509.214020 695.961731, 
-421.976013 23.671293 -262.965302, -534.854553 536.481628 -452.132294, 509.214020 695.961731 -651.182495, -608.540466 -33.786633 -622.328674, 
536.481628 -452.132294 509.214020, 695.961731 -651.182495 -608.540466, -33.786633 -622.328674 -422.525360, 24.272449 -260.195099 -532.424805, 
-651.182495 -608.540466 -33.786633, -622.328674 -422.525360 24.272449, -260.195099 -532.424805 540.645081, -453.025208 507.201630 690.712524, 
-422.525360 24.272449 -260.195099, -532.424805 540.645081 -453.025208, 507.201630 690.712524 -650.655579, -608.222351 -33.180191 -622.675659, 
540.645081 -453.025208 507.201630, 690.712524 -650.655579 -608.222351, -33.180191 -622.675659 -421.802826, 24.010443 -260.195099 -532.424805, 
-650.655579 -608.222351 -33.180191, -622.675659 -421.802826 24.010443, -260.195099 -532.424805 540.645081, -453.025208 507.201630 690.712524, 
-421.802826 24.010443 -260.195099, -532.424805 540.645081 -453.025208, 507.201630 690.712524 -652.057495, -606.799377 -37.341854 -627.367676, 
540.645081 -453.025208 507.201630, 690.712524 -652.057495 -606.799377, -37.341854 -627.367676 -421.585388, 25.691656 -261.278839 -534.279480, 
-652.057495 -606.799377 -37.341854, -627.367676 -421.585388 25.691656, -261.278839 -534.279480 541.115967, -451.826447 510.739990 691.488892, 
-421.585388 25.691656 -261.278839, -534.279480 541.115967 -451.826447, 510.739990 691.488892 -651.457581, -608.104553 -39.745388 -623.393555, 
541.115967 -451.826447 510.739990, 691.488892 -651.457581 -608.104553, -39.745388 -623.393555 -424.450073, 29.013798 -259.547638 -535.984436, 
-651.457581 -608.104553 -39.745388, -623.393555 -424.450073 29.013798, -259.547638 -535.984436 540.081665, -453.010254 509.660034 694.341248, 
-424.450073 29.013798 -259.547638, -535.984436 540.081665 -453.010254, 509.660034 694.341248 -651.812439, -606.336548 -40.384716 -627.743164, 
